Tarih,PM10
19 06 2019,
20 06 2019,25.13
21 06 2019,
22 06 2019,
23 06 2019,
24 06 2019,
25 06 2019,
26 06 2019,
27 06 2019,
28 06 2019,
29 06 2019,
30 06 2019,
1 07 2019,
2 07 2019,
3 07 2019,
4 07 2019,
5 07 2019,
6 07 2019,
7 07 2019,
8 07 2019,
9 07 2019,
10 07 2019,
11 07 2019,
12 07 2019,
13 07 2019,
14 07 2019,
15 07 2019,
16 07 2019,
17 07 2019,
18 07 2019,
19 07 2019,
20 07 2019,
21 07 2019,
22 07 2019,
23 07 2019,
24 07 2019,
25 07 2019,
26 07 2019,
27 07 2019,
28 07 2019,
29 07 2019,
30 07 2019,
31 07 2019,
1 08 2019,
2 08 2019,
3 08 2019,
4 08 2019,
5 08 2019,
6 08 2019,
7 08 2019,
8 08 2019,
9 08 2019,
10 08 2019,
11 08 2019,
12 08 2019,
13 08 2019,
14 08 2019,
15 08 2019,
16 08 2019,
17 08 2019,
18 08 2019,
19 08 2019,
20 08 2019,
21 08 2019,
22 08 2019,
23 08 2019,
24 08 2019,
25 08 2019,
26 08 2019,
27 08 2019,
28 08 2019,
29 08 2019,
30 08 2019,
31 08 2019,
1 09 2019,
2 09 2019,
3 09 2019,
4 09 2019,
5 09 2019,
6 09 2019,
7 09 2019,
8 09 2019,
9 09 2019,
10 09 2019,
11 09 2019,
12 09 2019,
13 09 2019,
14 09 2019,
15 09 2019,
16 09 2019,
17 09 2019,
18 09 2019,
19 09 2019,
20 09 2019,
21 09 2019,
22 09 2019,
23 09 2019,
24 09 2019,
25 09 2019,
26 09 2019,
27 09 2019,
28 09 2019,
29 09 2019,
30 09 2019,
1 10 2019,
2 10 2019,
3 10 2019,
4 10 2019,
5 10 2019,
6 10 2019,
7 10 2019,
8 10 2019,
9 10 2019,
10 10 2019,
11 10 2019,
12 10 2019,
13 10 2019,
14 10 2019,
15 10 2019,
16 10 2019,
17 10 2019,
18 10 2019,
19 10 2019,
20 10 2019,
21 10 2019,
22 10 2019,
23 10 2019,
24 10 2019,
25 10 2019,
26 10 2019,
27 10 2019,26.97
28 10 2019,46.43
29 10 2019,63.4
30 10 2019,75.72
31 10 2019,
1 11 2019,
2 11 2019,
3 11 2019,
4 11 2019,
5 11 2019,
6 11 2019,
7 11 2019,
8 11 2019,
9 11 2019,
10 11 2019,
11 11 2019,
12 11 2019,
13 11 2019,
14 11 2019,105.65
15 11 2019,48.86
16 11 2019,49.23
17 11 2019,49.86
18 11 2019,95.79
19 11 2019,92.95
20 11 2019,102.65
21 11 2019,126.43
22 11 2019,95.08
23 11 2019,104.84
24 11 2019,83.1
25 11 2019,113.96
26 11 2019,62.18
27 11 2019,47.64
28 11 2019,63.37
29 11 2019,47.05
30 11 2019,
1 12 2019,
2 12 2019,
3 12 2019,
4 12 2019,
5 12 2019,
6 12 2019,
7 12 2019,
8 12 2019,
9 12 2019,
10 12 2019,
11 12 2019,
12 12 2019,
13 12 2019,45.52
14 12 2019,28.49
15 12 2019,40.73
16 12 2019,47.72
17 12 2019,92.16
18 12 2019,89.93
19 12 2019,94.25
20 12 2019,117.67
21 12 2019,145.52
22 12 2019,96.88
23 12 2019,19.42
24 12 2019,15
25 12 2019,29.5
26 12 2019,7.54
27 12 2019,7.39
28 12 2019,17.75
29 12 2019,14.76
30 12 2019,19.01
31 12 2019,29.11
